브랜드명,매장수,평균거리_m,중앙값거리_m,최소거리_m,최대거리_m,100m이내비율(%),300m이내비율(%)
커피빈,240,294.64166666666665,312.5,7,686,32.083333333333336,48.75
텐퍼센트커피,87,318.3333333333333,321.0,3,682,11.494252873563218,47.12643678160919
투썸플레이스,376,347.7420212765957,351.0,0,690,13.297872340425531,44.148936170212764
컴포즈커피,458,350.9759825327511,315.5,0,691,7.20524017467249,49.12663755458515
기타커피전문점,23467,352.13478501725825,338.0,0,691,10.116333574807177,46.3715004048238
메가커피,979,352.85188968335035,348.0,0,691,8.273748723186927,45.96527068437181
더벤티,158,353.1898734177215,310.0,18,691,3.1645569620253164,50.0
할리스,115,359.704347826087,367.0,7,678,11.304347826086957,43.47826086956522
빽다방,372,362.9489247311828,364.0,10,691,5.376344086021505,44.354838709677416
매머드커피,450,367.42,379.5,0,690,10.666666666666668,40.88888888888889
탐앤탐스,65,367.5846153846154,367.0,6,685,18.461538461538463,43.07692307692308
이디야,436,389.89908256880733,404.0,0,691,7.339449541284404,37.84403669724771
